Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
[NFR-OBS-002] Request-correlation id propagation,ECOM-149,10194,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-obs,wiki-linked,,,"*NFR-OBS-002:* Logs include request-correlation id; propagated to downstream calls (and frontend in dev).

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

X-Request-Id header generated if absent; echoed in response.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000zj:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:04
[NFR-OBS-001] Structured JSON request logs,ECOM-148,10193,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-obs,wiki-linked,,,"*NFR-OBS-001:* Every API request produces a structured (JSON) log entry: timestamp, request_id, method, path, status, latency, user_id (if authenticated).

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000zb:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:04
[NFR-MNT-014] Cyclomatic complexity ≤ 10/fn,ECOM-147,10192,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,mvp,nfr-mnt,should,wiki-linked,,,"*NFR-MNT-014:* Cyclomatic complexity ≤ 10 per function; exceeding must be refactored or annotated.

*Priority:* Should | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

ruff/eslint rules configured to warn at 10.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000z3:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
"[NFR-MNT-013] README, SETUP_GUIDE, ARCHITECTURE kept current",ECOM-146,10191,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,docs,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-013:* Repo includes README, SETUP_GUIDE, ARCHITECTURE docs; reviewed each release.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* All 3 docs present at repo root
* Updated whenever architecture or setup changes
* Release checklist item: ""Docs reviewed""",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000yv:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-012] Feature-based code organisation,ECOM-145,10190,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,mvp,nfr-mnt,should,wiki-linked,,,"*NFR-MNT-012:* Source organised by feature (routers, services, schemas per area), not layer-only.

*Priority:* Should | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* e-commerce-api/auth/, /catalog/, /cart/, /orders/ each contain their router + service + schema
* Cross-area imports minimised",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000yn:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-011] OpenAPI docs; breaking changes via path version,ECOM-144,10189,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-mnt,wiki-linked,,,"*NFR-MNT-011:* Public APIs documented in OpenAPI; breaking changes versioned via path prefix.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* /docs (Swagger UI) and /redoc available
* OpenAPI schema published to git
* /api/v2/... when breaking",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000yf:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-010] 12-factor config: env vars only,ECOM-143,10188,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-mnt,wiki-linked,,,"*NFR-MNT-010:* Configuration 12-factor: env vars only; no per-environment code branches.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* All config via env vars (DATABASE_URL, SECRET_KEY, CORS_ORIGINS, …)
* {{.env.example}} documents every variable
* No {{if env == ""prod""}} style branches",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000y7:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-009] SQLite → Postgres portability (connection string only),ECOM-142,10187,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-mnt,wiki-linked,,,"*NFR-MNT-009:* Portable from SQLite (dev) to Postgres (prod) without code changes — connection string only.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* DATABASE_URL env var drives engine
* No dialect-specific SQL in code
* CI tests against both engines",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000xz:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-008] Frontend deployable as static assets,ECOM-141,10186,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-mnt,ops,wiki-linked,,"*NFR-MNT-008:* Frontend deployable as static assets to any static host or CDN.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

Vite build output is the deployable; no Node server required.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000xr:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-007] Backend Dockerfile + container image,ECOM-140,10185,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,mvp,nfr-mnt,ops,wiki-linked,,"*NFR-MNT-007:* Backend deployable as Docker image with documented Dockerfile.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* Multi-stage Dockerfile (build + runtime)
* Image size < 200 MB
* Non-root user inside container",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000xj:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-006] Single-command bootstrap (make dev / docker compose up),ECOM-139,10184,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,devx,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-006:* Application runnable end-to-end via single bootstrap command.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* {{make dev}} or {{docker compose up}} brings up backend + frontend + DB
* New contributor productive within 1 hour",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000xb:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-005] Alembic migrations from v1.1,ECOM-138,10183,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,must,nfr-mnt,v1.1,wiki-linked,,,"*NFR-MNT-005:* Adopt Alembic DB migrations from v1.1; schema changes ship as migration scripts.

*Priority:* Must (v1.1) | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

h3. AC

* alembic init done
* One migration per schema change PR
* Migration applies cleanly forward and backward in CI",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000x3:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-004] Frontend lint-clean (ESLint),ECOM-137,10182,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:04,16-06-2026 20:04,,,,0,ci,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-004:* Frontend ESLint-clean; type-clean if TypeScript adopted.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000wv:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:04
[NFR-MNT-003] Backend lint-clean (ruff) + type-clean (mypy),ECOM-136,10181,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,ci,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-003:* Backend lint-clean (ruff/flake8) and type-clean (mypy strict on services).

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

CI fails on any new lint warning or type error.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000wn:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:03
[NFR-MNT-002] Frontend test coverage ≥ 70%,ECOM-135,10180,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,ci,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-002:* Frontend unit + component coverage ≥ 70%. Vitest coverage gate in CI.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000wf:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:03
[NFR-MNT-001] Backend test coverage ≥ 80% on changed lines,ECOM-134,10179,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,ci,must,mvp,nfr-mnt,wiki-linked,,"*NFR-MNT-001:* Backend unit + integration coverage ≥ 80% on changed lines; overall MUST NOT regress.

*Priority:* Must | *Epic:* ECOM-15
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1671170

pytest-cov in CI; PR fails on regression.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000w7:,,,,,10060,ECOM-15,[NFR-MNT] Maintainability & Portability,To Do,16-06-2026 20:03
[NFR-USE-012] Locale-aware currency / dates / numbers (en-US),ECOM-133,10178,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:03,16-06-2026 20:03,,,,0,frontend,mvp,nfr-use,should,wiki-linked,,"*NFR-USE-012:* Currency, dates, numbers locale-aware (Intl APIs); MVP locale is en-US.

*Priority:* Should | *Epic:* ECOM-14
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1638443

h3. AC

* All prices via Intl.NumberFormat
* All dates via Intl.DateTimeFormat
* MVP hard-coded to en-US; future i18n switches the locale only",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000vz:,,,,,10059,ECOM-14,[NFR-USE] Usability & Accessibility,To Do,16-06-2026 20:03
